objectid	izena_nombre	longitude	latitude	izena	nombre
6530	Bolatokia / Juego de Bolos	-2,28518336299993	42,872463161	Bolatokia	Juego de Bolos
6531	Bolatokia / Juego de Bolos	-2,38443985799995	42,9020366870001	Bolatokia	Juego de Bolos
6532	Bolatokia / Juego de Bolos	-2,26272195999997	42,8699793550001	Bolatokia	Juego de Bolos
6533	Bolatokia / Juego de Bolos	-2,39092851399994	42,9123373190001	Bolatokia	Juego de Bolos
6534	Juego de Bolos	-2,88898085099993	42,8976042350001		Juego de Bolos
6535	Bolatokia / Juego de Bolos	-3,03642507199993	43,0611853030001	Bolatokia	Juego de Bolos
6536	Bolatokia / Juego de Bolos	-2,90978361499998	42,860520761	Bolatokia	Juego de Bolos
6537	Bolatokia / Juego de Bolos	-2,88815991499996	42,8774316380001	Bolatokia	Juego de Bolos
6538	Bolatokia / Juego de Bolos	-2,93085536199993	42,834149805	Bolatokia	Juego de Bolos
6539	Bolatokia / Juego de Bolos	-3,05879109399996	43,0510003460001	Bolatokia	Juego de Bolos
6540	Bolatokia / Juego de Bolos	-2,94419351899995	42,792101932	Bolatokia	Juego de Bolos
6541	Bolatokia / Juego de Bolos	-2,90789441999993	42,8055866010001	Bolatokia	Juego de Bolos
